E_B#7 / keV	N_B#7
0.1	9
0.2	0
0.4	0
0.5	0
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	0
1.8	0
2.0	1
2.1	11
2.3	26
2.4	43
2.6	39
2.7	46
2.9	32
3.0	33
3.2	33
3.3	44
3.5	36
3.6	44
3.8	32
3.9	34
4.1	36
4.2	33
4.4	34
4.5	36
4.7	47
4.8	34
4.9	24
5.1	38
5.2	32
5.4	31
5.5	43
5.7	52
5.8	38
6.0	36
6.1	42
6.3	52
6.4	57
6.6	70
6.7	48
6.9	58
7.0	49
7.2	61
7.3	63
7.5	84
7.6	88
7.8	66
7.9	34
8.1	42
8.2	39
8.4	46
8.5	39
8.6	48
8.8	50
8.9	41
9.1	49
9.2	43
9.4	60
9.5	72
9.7	123
9.8	130
10.0	110
10.1	76
10.3	50
10.4	39
10.6	39
10.7	47
10.9	49
11.0	61
11.2	57
11.3	73
11.5	104
11.6	120
11.8	123
11.9	96
12.1	74
12.2	87
12.3	60
12.5	74
12.6	88
12.8	83
12.9	81
13.1	91
13.2	113
13.4	129
13.5	145
13.7	145
13.8	140
14.0	144
14.1	159
14.3	165
14.4	202
14.6	208
14.7	204
14.9	209
15.0	226
15.2	236
15.3	245
15.5	254
15.6	286
15.7	326
15.9	397
16.0	464
16.2	669
16.3	888
16.5	1127
16.6	1035
16.8	786
16.9	518
17.1	320
17.2	231
17.4	182
17.5	191
17.7	185
17.8	114
18.0	82
18.1	56
18.3	69
18.4	60
18.6	53
18.7	57
18.9	45
19.0	48
19.2	41
19.3	49
19.4	47
19.6	43
19.7	50
19.9	51
20.0	41
20.2	43
20.3	55
20.5	65
20.6	45
20.8	35
20.9	43
21.1	48
21.2	54
21.4	50
21.5	46
21.7	38
21.8	57
22.0	35
22.1	44
22.3	49
22.4	31
22.6	29
22.7	48
22.8	48
23.0	29
23.1	35
23.3	36
23.4	26
23.6	38
23.7	29
23.9	40
24.0	39
24.2	37
24.3	30
24.5	25
24.6	30
24.8	22
24.9	30
25.1	20
25.2	17
25.4	16
25.5	33
25.7	28
25.8	21
26.0	16
26.1	7
26.3	7
26.4	10
26.5	6
26.7	4
26.8	3
27.0	3
27.1	1
27.3	3
27.4	1
27.6	0
27.7	0
27.9	1
28.0	0
28.2	1
28.3	0
28.5	1
28.6	0
28.8	0
28.9	1
29.1	0
29.2	0
29.4	0
29.5	0
29.7	0
29.8	0
29.9	0
30.1	0
30.2	0
30.4	1
30.5	0
30.7	0
30.8	1
31.0	1
31.1	0
31.3	0
31.4	0
31.6	0
31.7	1
31.9	0
32.0	0
32.2	0
32.3	0
32.5	0
32.6	0
32.8	0
32.9	0
33.1	0
33.2	1
33.4	0
33.5	0
33.6	1
33.8	0
33.9	0
34.1	0
34.2	0
34.4	2
34.5	0
34.7	0
34.8	0
35.0	0
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	1
36.3	0
36.5	0
36.6	0
36.8	0
36.9	0
37.0	0
37.2	0
37.3	0
37.5	0
37.6	0
37.8	11
