E_B#20 / keV	N_B#20
0.1	3
0.2	2
0.4	2
0.5	0
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	0
1.8	1
2.0	1
2.1	12
2.3	25
2.4	36
2.6	37
2.7	37
2.9	37
3.0	31
3.2	38
3.3	34
3.5	31
3.6	36
3.8	40
3.9	39
4.1	30
4.2	23
4.4	18
4.5	31
4.7	38
4.8	17
4.9	40
5.1	33
5.2	29
5.4	32
5.5	35
5.7	37
5.8	28
6.0	44
6.1	38
6.3	36
6.4	52
6.6	66
6.7	49
6.9	48
7.0	58
7.2	45
7.3	66
7.5	69
7.6	85
7.8	45
7.9	44
8.1	49
8.2	35
8.4	56
8.5	49
8.6	44
8.8	35
8.9	31
9.1	31
9.2	30
9.4	49
9.5	79
9.7	127
9.8	148
10.0	105
10.1	44
10.3	37
10.4	38
10.6	35
10.7	34
10.9	35
11.0	54
11.2	60
11.3	84
11.5	107
11.6	120
11.8	110
11.9	74
12.1	55
12.2	52
12.3	50
12.5	65
12.6	66
12.8	67
12.9	70
13.1	75
13.2	78
13.4	79
13.5	103
13.7	92
13.8	94
14.0	114
14.1	116
14.3	119
14.4	134
14.6	133
14.7	153
14.9	163
15.0	149
15.2	185
15.3	183
15.5	189
15.6	193
15.7	197
15.9	208
16.0	195
16.2	219
16.3	209
16.5	250
16.6	230
16.8	262
16.9	301
17.1	516
17.2	837
17.4	1295
17.5	1521
17.7	1136
17.8	575
18.0	260
18.1	130
18.3	50
18.4	27
18.6	36
18.7	28
18.9	26
19.0	36
19.2	34
19.3	55
19.4	50
19.6	66
19.7	80
19.9	58
20.0	35
20.2	33
20.3	24
20.5	40
20.6	33
20.8	32
20.9	44
21.1	37
21.2	39
21.4	29
21.5	44
21.7	39
21.8	50
22.0	48
22.1	54
22.3	44
22.4	50
22.6	38
22.7	32
22.8	23
23.0	42
23.1	34
23.3	45
23.4	27
23.6	42
23.7	24
23.9	27
24.0	34
24.2	23
24.3	35
24.5	28
24.6	34
24.8	33
24.9	30
25.1	30
25.2	18
25.4	28
25.5	24
25.7	25
25.8	23
26.0	28
26.1	24
26.3	23
26.4	27
26.5	18
26.7	25
26.8	13
27.0	12
27.1	12
27.3	14
27.4	18
27.6	12
27.7	5
27.9	14
28.0	6
28.2	9
28.3	5
28.5	4
28.6	4
28.8	1
28.9	2
29.1	1
29.2	0
29.4	0
29.5	0
29.7	1
29.8	0
29.9	0
30.1	0
30.2	0
30.4	0
30.5	1
30.7	0
30.8	0
31.0	1
31.1	0
31.3	0
31.4	0
31.6	0
31.7	0
31.9	0
32.0	0
32.2	0
32.3	0
32.5	0
32.6	0
32.8	0
32.9	0
33.1	0
33.2	0
33.4	0
33.5	0
33.6	0
33.8	0
33.9	0
34.1	0
34.2	0
34.4	0
34.5	0
34.7	0
34.8	0
35.0	0
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	0
36.5	0
36.6	0
36.8	0
36.9	0
37.0	0
37.2	0
37.3	0
37.5	0
37.6	0
37.8	14
