E_B#11 / keV	N_B#11
0.1	7
0.2	0
0.4	0
0.5	0
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	0
1.8	3
2.0	1
2.1	7
2.3	10
2.4	21
2.6	26
2.7	24
2.9	22
3.0	31
3.2	27
3.3	28
3.5	26
3.6	21
3.8	38
3.9	30
4.1	24
4.2	20
4.4	25
4.5	31
4.7	28
4.8	26
4.9	24
5.1	25
5.2	20
5.4	23
5.5	28
5.7	20
5.8	23
6.0	20
6.1	25
6.3	30
6.4	41
6.6	33
6.7	34
6.9	43
7.0	35
7.2	35
7.3	33
7.5	58
7.6	47
7.8	34
7.9	37
8.1	32
8.2	30
8.4	30
8.5	27
8.6	24
8.8	22
8.9	26
9.1	24
9.2	23
9.4	37
9.5	67
9.7	64
9.8	79
10.0	68
10.1	45
10.3	24
10.4	21
10.6	29
10.7	30
10.9	24
11.0	31
11.2	36
11.3	42
11.5	71
11.6	85
11.8	63
11.9	48
12.1	45
12.2	37
12.3	40
12.5	50
12.6	46
12.8	65
12.9	67
13.1	70
13.2	69
13.4	65
13.5	76
13.7	86
13.8	86
14.0	83
14.1	125
14.3	118
14.4	109
14.6	116
14.7	102
14.9	99
15.0	123
15.2	119
15.3	134
15.5	140
15.6	149
15.7	176
15.9	175
16.0	175
16.2	226
16.3	276
16.5	432
16.6	524
16.8	640
16.9	580
17.1	431
17.2	281
17.4	206
17.5	185
17.7	166
17.8	82
18.0	53
18.1	35
18.3	21
18.4	24
18.6	26
18.7	28
18.9	31
19.0	28
19.2	29
19.3	22
19.4	28
19.6	28
19.7	29
19.9	28
20.0	25
20.2	19
20.3	20
20.5	22
20.6	25
20.8	25
20.9	25
21.1	20
21.2	25
21.4	21
21.5	25
21.7	26
21.8	23
22.0	29
22.1	29
22.3	26
22.4	19
22.6	27
22.7	32
22.8	27
23.0	25
23.1	19
23.3	28
23.4	18
23.6	13
23.7	28
23.9	19
24.0	22
24.2	13
24.3	20
24.5	13
24.6	21
24.8	14
24.9	15
25.1	12
25.2	7
25.4	14
25.5	6
25.7	8
25.8	4
26.0	11
26.1	8
26.3	6
26.4	5
26.5	2
26.7	0
26.8	5
27.0	1
27.1	1
27.3	2
27.4	1
27.6	1
27.7	1
27.9	1
28.0	0
28.2	1
28.3	0
28.5	0
28.6	0
28.8	0
28.9	0
29.1	0
29.2	0
29.4	0
29.5	0
29.7	0
29.8	0
29.9	0
30.1	0
30.2	0
30.4	0
30.5	0
30.7	0
30.8	0
31.0	0
31.1	0
31.3	0
31.4	0
31.6	0
31.7	0
31.9	0
32.0	0
32.2	0
32.3	0
32.5	0
32.6	0
32.8	0
32.9	0
33.1	0
33.2	0
33.4	0
33.5	0
33.6	0
33.8	0
33.9	0
34.1	0
34.2	0
34.4	0
34.5	0
34.7	0
34.8	0
35.0	0
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	0
36.5	0
36.6	0
36.8	0
36.9	0
37.0	0
37.2	0
37.3	0
37.5	0
37.6	0
37.8	9
