E_B#11 / keV	N_B#11
0.1	1
0.2	0
0.4	1
0.5	0
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	0
1.8	0
2.0	1
2.1	3
2.3	8
2.4	12
2.6	13
2.7	11
2.9	5
3.0	9
3.2	7
3.3	7
3.5	5
3.6	6
3.8	6
3.9	6
4.1	7
4.2	10
4.4	3
4.5	6
4.7	7
4.8	8
4.9	4
5.1	4
5.2	2
5.4	5
5.5	5
5.7	7
5.8	5
6.0	10
6.1	8
6.3	13
6.4	14
6.6	11
6.7	11
6.9	18
7.0	14
7.2	19
7.3	16
7.5	10
7.6	12
7.8	14
7.9	16
8.1	17
8.2	14
8.4	14
8.5	5
8.6	10
8.8	14
8.9	15
9.1	11
9.2	14
9.4	13
9.5	12
9.7	23
9.8	29
10.0	14
10.1	11
10.3	6
10.4	4
10.6	2
10.7	10
10.9	6
11.0	8
11.2	9
11.3	18
11.5	28
11.6	45
11.8	49
11.9	33
12.1	23
12.2	11
12.3	10
12.5	13
12.6	4
12.8	5
12.9	15
13.1	9
13.2	12
13.4	12
13.5	13
13.7	19
13.8	18
14.0	14
14.1	19
14.3	5
14.4	13
14.6	17
14.7	14
14.9	13
15.0	18
15.2	16
15.3	20
15.5	43
15.6	81
15.7	184
15.9	224
16.0	163
16.2	75
16.3	46
16.5	41
16.6	41
16.8	55
16.9	44
17.1	32
17.2	71
17.4	147
17.5	227
17.7	225
17.8	142
18.0	68
18.1	23
18.3	15
18.4	4
18.6	2
18.7	2
18.9	1
19.0	2
19.2	8
19.3	6
19.4	8
19.6	15
19.7	10
19.9	3
20.0	9
20.2	1
20.3	4
20.5	10
20.6	2
20.8	3
20.9	5
21.1	4
21.2	10
21.4	7
21.5	11
21.7	10
21.8	6
22.0	7
22.1	13
22.3	8
22.4	10
22.6	9
22.7	19
22.8	11
23.0	12
23.1	12
23.3	6
23.4	4
23.6	10
23.7	5
23.9	12
24.0	3
24.2	5
24.3	7
24.5	4
24.6	7
24.8	8
24.9	8
25.1	6
25.2	4
25.4	6
25.5	7
25.7	5
25.8	7
26.0	8
26.1	4
26.3	1
26.4	10
26.5	3
26.7	7
26.8	2
27.0	4
27.1	2
27.3	4
27.4	1
27.6	3
27.7	4
27.9	6
28.0	2
28.2	6
28.3	9
28.5	2
28.6	3
28.8	5
28.9	1
29.1	5
29.2	4
29.4	7
29.5	4
29.7	6
29.8	3
29.9	7
30.1	6
30.2	4
30.4	9
30.5	7
30.7	3
30.8	2
31.0	3
31.1	4
31.3	4
31.4	2
31.6	3
31.7	2
31.9	0
32.0	0
32.2	2
32.3	1
32.5	5
32.6	4
32.8	4
32.9	0
33.1	1
33.2	2
33.4	0
33.5	1
33.6	2
33.8	1
33.9	0
34.1	0
34.2	0
34.4	0
34.5	0
34.7	0
34.8	0
35.0	0
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	0
36.5	0
36.6	0
36.8	0
36.9	0
37.0	0
37.2	0
37.3	0
37.5	0
37.6	0
37.8	7
