E_B#6 / keV	N_B#6
0.1	0
0.2	0
0.4	1
0.5	0
0.7	0
0.8	0
1.0	1
1.1	0
1.3	0
1.4	0
1.5	0
1.7	0
1.8	0
2.0	1
2.1	1
2.3	3
2.4	5
2.6	5
2.7	3
2.9	3
3.0	4
3.2	3
3.3	3
3.5	5
3.6	4
3.8	3
3.9	8
4.1	2
4.2	10
4.4	3
4.5	8
4.7	6
4.8	2
4.9	2
5.1	7
5.2	9
5.4	7
5.5	4
5.7	4
5.8	4
6.0	2
6.1	3
6.3	3
6.4	10
6.6	5
6.7	7
6.9	6
7.0	1
7.2	5
7.3	4
7.5	6
7.6	9
7.8	3
7.9	9
8.1	5
8.2	3
8.4	2
8.5	7
8.6	5
8.8	9
8.9	3
9.1	5
9.2	3
9.4	5
9.5	12
9.7	16
9.8	19
10.0	8
10.1	10
10.3	1
10.4	7
10.6	1
10.7	4
10.9	5
11.0	3
11.2	6
11.3	5
11.5	10
11.6	8
11.8	5
11.9	7
12.1	5
12.2	1
12.3	1
12.5	4
12.6	0
12.8	5
12.9	6
13.1	2
13.2	4
13.4	6
13.5	5
13.7	4
13.8	4
14.0	4
14.1	4
14.3	5
14.4	7
14.6	5
14.7	10
14.9	13
15.0	8
15.2	9
15.3	10
15.5	16
15.6	24
15.7	50
15.9	51
16.0	40
16.2	30
16.3	20
16.5	21
16.6	18
16.8	22
16.9	22
17.1	33
17.2	73
17.4	134
17.5	175
17.7	142
17.8	75
18.0	32
18.1	12
18.3	3
18.4	6
18.6	3
18.7	5
18.9	4
19.0	6
19.2	10
19.3	7
19.4	15
19.6	12
19.7	16
19.9	12
20.0	5
20.2	3
20.3	2
20.5	0
20.6	0
20.8	0
20.9	1
21.1	0
21.2	0
21.4	0
21.5	1
21.7	1
21.8	2
22.0	0
22.1	3
22.3	0
22.4	0
22.6	0
22.7	1
22.8	0
23.0	0
23.1	0
23.3	0
23.4	2
23.6	1
23.7	0
23.9	0
24.0	0
24.2	0
24.3	0
24.5	0
24.6	0
24.8	0
24.9	0
25.1	1
25.2	0
25.4	0
25.5	4
25.7	0
25.8	1
26.0	1
26.1	0
26.3	3
26.4	2
26.5	0
26.7	0
26.8	2
27.0	0
27.1	1
27.3	2
27.4	0
27.6	0
27.7	0
27.9	0
28.0	0
28.2	1
28.3	3
28.5	3
28.6	1
28.8	1
28.9	2
29.1	1
29.2	1
29.4	0
29.5	5
29.7	1
29.8	2
29.9	2
30.1	0
30.2	3
30.4	2
30.5	2
30.7	2
30.8	1
31.0	6
31.1	3
31.3	2
31.4	2
31.6	1
31.7	3
31.9	2
32.0	4
32.2	1
32.3	2
32.5	2
32.6	1
32.8	2
32.9	0
33.1	1
33.2	2
33.4	0
33.5	2
33.6	3
33.8	1
33.9	1
34.1	0
34.2	0
34.4	0
34.5	0
34.7	0
34.8	0
35.0	0
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	0
36.5	0
36.6	0
36.8	0
36.9	0
37.0	0
37.2	0
37.3	1
37.5	0
37.6	0
37.8	4
