E_B#3 / keV	N_B#3
0.1	3
0.2	0
0.4	0
0.5	0
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	0
1.8	0
2.0	0
2.1	2
2.3	12
2.4	26
2.6	26
2.7	29
2.9	28
3.0	34
3.2	36
3.3	24
3.5	26
3.6	23
3.8	53
3.9	80
4.1	58
4.2	41
4.4	31
4.5	18
4.7	21
4.8	15
4.9	17
5.1	12
5.2	16
5.4	19
5.5	20
5.7	18
5.8	17
6.0	23
6.1	24
6.3	16
6.4	53
6.6	47
6.7	41
6.9	33
7.0	31
7.2	33
7.3	29
7.5	35
7.6	46
7.8	35
7.9	21
8.1	22
8.2	24
8.4	18
8.5	17
8.6	16
8.8	27
8.9	16
9.1	22
9.2	22
9.4	21
9.5	27
9.7	51
9.8	53
10.0	37
10.1	32
10.3	34
10.4	44
10.6	68
10.7	96
10.9	69
11.0	25
11.2	19
11.3	38
11.5	44
11.6	56
11.8	34
11.9	48
12.1	30
12.2	24
12.3	16
12.5	27
12.6	21
12.8	23
12.9	25
13.1	26
13.2	27
13.4	34
13.5	34
13.7	33
13.8	45
14.0	43
14.1	64
14.3	66
14.4	67
14.6	49
14.7	40
14.9	53
15.0	44
15.2	56
15.3	55
15.5	61
15.6	47
15.7	89
15.9	94
16.0	102
16.2	120
16.3	185
16.5	203
16.6	264
16.8	265
16.9	242
17.1	150
17.2	109
17.4	124
17.5	108
17.7	101
17.8	88
18.0	39
18.1	24
18.3	19
18.4	16
18.6	15
18.7	23
18.9	19
19.0	18
19.2	18
19.3	15
19.4	21
19.6	17
19.7	17
19.9	25
20.0	20
20.2	27
20.3	25
20.5	19
20.6	23
20.8	24
20.9	28
21.1	16
21.2	16
21.4	19
21.5	14
21.7	30
21.8	31
22.0	41
22.1	43
22.3	32
22.4	22
22.6	24
22.7	26
22.8	21
23.0	20
23.1	23
23.3	17
23.4	21
23.6	23
23.7	25
23.9	35
24.0	19
24.2	33
24.3	20
24.5	26
24.6	29
24.8	22
24.9	19
25.1	32
25.2	26
25.4	30
25.5	19
25.7	24
25.8	18
26.0	18
26.1	26
26.3	28
26.4	25
26.5	24
26.7	21
26.8	24
27.0	22
27.1	19
27.3	16
27.4	16
27.6	21
27.7	19
27.9	23
28.0	23
28.2	13
28.3	21
28.5	11
28.6	13
28.8	11
28.9	21
29.1	18
29.2	14
29.4	10
29.5	7
29.7	6
29.8	13
29.9	5
30.1	2
30.2	9
30.4	5
30.5	4
30.7	5
30.8	5
31.0	7
31.1	1
31.3	3
31.4	3
31.6	0
31.7	1
31.9	3
32.0	1
32.2	1
32.3	0
32.5	1
32.6	0
32.8	0
32.9	0
33.1	0
33.2	0
33.4	1
33.5	0
33.6	0
33.8	0
33.9	0
34.1	0
34.2	0
34.4	0
34.5	0
34.7	0
34.8	0
35.0	0
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	0
36.5	0
36.6	0
36.8	0
36.9	0
37.0	1
37.2	0
37.3	0
37.5	0
37.6	0
37.8	13
