E_B#6 / keV	N_B#6
0.1	4
0.2	0
0.4	1
0.5	0
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	0
1.8	0
2.0	1
2.1	7
2.3	16
2.4	19
2.6	21
2.7	34
2.9	27
3.0	26
3.2	23
3.3	20
3.5	22
3.6	39
3.8	56
3.9	86
4.1	49
4.2	39
4.4	27
4.5	29
4.7	33
4.8	23
4.9	38
5.1	17
5.2	24
5.4	26
5.5	21
5.7	18
5.8	31
6.0	16
6.1	16
6.3	48
6.4	53
6.6	56
6.7	23
6.9	39
7.0	36
7.2	35
7.3	38
7.5	36
7.6	52
7.8	36
7.9	33
8.1	25
8.2	22
8.4	35
8.5	29
8.6	27
8.8	22
8.9	28
9.1	21
9.2	25
9.4	27
9.5	34
9.7	55
9.8	69
10.0	62
10.1	33
10.3	27
10.4	44
10.6	74
10.7	79
10.9	49
11.0	31
11.2	32
11.3	38
11.5	51
11.6	66
11.8	64
11.9	39
12.1	31
12.2	18
12.3	39
12.5	21
12.6	26
12.8	28
12.9	26
13.1	30
13.2	37
13.4	34
13.5	46
13.7	49
13.8	50
14.0	60
14.1	70
14.3	83
14.4	66
14.6	53
14.7	59
14.9	53
15.0	65
15.2	39
15.3	40
15.5	56
15.6	57
15.7	82
15.9	80
16.0	90
16.2	82
16.3	70
16.5	88
16.6	105
16.8	163
16.9	210
17.1	304
17.2	376
17.4	488
17.5	461
17.7	371
17.8	186
18.0	70
18.1	28
18.3	18
18.4	19
18.6	16
18.7	19
18.9	15
19.0	17
19.2	22
19.3	29
19.4	16
19.6	18
19.7	21
19.9	26
20.0	20
20.2	18
20.3	22
20.5	16
20.6	15
20.8	19
20.9	17
21.1	33
21.2	12
21.4	16
21.5	20
21.7	29
21.8	38
22.0	35
22.1	34
22.3	23
22.4	27
22.6	23
22.7	24
22.8	29
23.0	25
23.1	33
23.3	20
23.4	29
23.6	22
23.7	21
23.9	23
24.0	31
24.2	27
24.3	22
24.5	32
24.6	26
24.8	27
24.9	21
25.1	28
25.2	29
25.4	27
25.5	35
25.7	23
25.8	32
26.0	30
26.1	19
26.3	23
26.4	15
26.5	28
26.7	22
26.8	22
27.0	24
27.1	31
27.3	24
27.4	21
27.6	17
27.7	17
27.9	27
28.0	12
28.2	21
28.3	14
28.5	15
28.6	20
28.8	9
28.9	16
29.1	17
29.2	14
29.4	19
29.5	14
29.7	5
29.8	18
29.9	11
30.1	15
30.2	9
30.4	16
30.5	12
30.7	13
30.8	13
31.0	9
31.1	8
31.3	8
31.4	5
31.6	5
31.7	4
31.9	3
32.0	4
32.2	7
32.3	4
32.5	2
32.6	1
32.8	1
32.9	2
33.1	2
33.2	3
33.4	1
33.5	1
33.6	0
33.8	0
33.9	0
34.1	0
34.2	0
34.4	0
34.5	0
34.7	0
34.8	0
35.0	0
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	0
36.5	0
36.6	0
36.8	0
36.9	0
37.0	0
37.2	0
37.3	0
37.5	0
37.6	0
37.8	12
