E_B#7 / keV	N_B#7
0.1	19
0.2	1
0.4	2
0.5	0
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	0
1.8	0
2.0	1
2.1	8
2.3	14
2.4	22
2.6	28
2.7	22
2.9	18
3.0	19
3.2	30
3.3	26
3.5	29
3.6	33
3.8	49
3.9	57
4.1	63
4.2	51
4.4	36
4.5	22
4.7	21
4.8	17
4.9	18
5.1	25
5.2	24
5.4	23
5.5	20
5.7	21
5.8	21
6.0	27
6.1	35
6.3	29
6.4	37
6.6	49
6.7	30
6.9	24
7.0	27
7.2	33
7.3	35
7.5	34
7.6	43
7.8	42
7.9	27
8.1	24
8.2	20
8.4	38
8.5	25
8.6	25
8.8	28
8.9	24
9.1	23
9.2	31
9.4	28
9.5	39
9.7	51
9.8	58
10.0	54
10.1	21
10.3	29
10.4	48
10.6	85
10.7	64
10.9	46
11.0	35
11.2	35
11.3	38
11.5	39
11.6	70
11.8	65
11.9	46
12.1	31
12.2	27
12.3	19
12.5	17
12.6	24
12.8	25
12.9	22
13.1	28
13.2	20
13.4	38
13.5	36
13.7	37
13.8	38
14.0	52
14.1	68
14.3	88
14.4	74
14.6	56
14.7	61
14.9	43
15.0	50
15.2	54
15.3	57
15.5	48
15.6	60
15.7	67
15.9	75
16.0	89
16.2	69
16.3	85
16.5	78
16.6	97
16.8	171
16.9	215
17.1	283
17.2	328
17.4	351
17.5	360
17.7	274
17.8	146
18.0	55
18.1	25
18.3	13
18.4	9
18.6	12
18.7	13
18.9	15
19.0	21
19.2	13
19.3	35
19.4	17
19.6	18
19.7	24
19.9	18
20.0	13
20.2	20
20.3	12
20.5	16
20.6	18
20.8	14
20.9	16
21.1	13
21.2	30
21.4	18
21.5	21
21.7	26
21.8	31
22.0	37
22.1	33
22.3	25
22.4	27
22.6	25
22.7	22
22.8	27
23.0	22
23.1	15
23.3	26
23.4	28
23.6	21
23.7	27
23.9	15
24.0	21
24.2	21
24.3	24
24.5	18
24.6	25
24.8	18
24.9	33
25.1	35
25.2	29
25.4	12
25.5	20
25.7	22
25.8	16
26.0	29
26.1	23
26.3	24
26.4	21
26.5	22
26.7	21
26.8	25
27.0	23
27.1	24
27.3	13
27.4	20
27.6	20
27.7	16
27.9	18
28.0	15
28.2	19
28.3	16
28.5	15
28.6	17
28.8	11
28.9	14
29.1	13
29.2	20
29.4	10
29.5	9
29.7	7
29.8	15
29.9	11
30.1	11
30.2	9
30.4	10
30.5	4
30.7	8
30.8	7
31.0	5
31.1	7
31.3	5
31.4	9
31.6	4
31.7	9
31.9	3
32.0	2
32.2	1
32.3	2
32.5	3
32.6	2
32.8	0
32.9	1
33.1	1
33.2	0
33.4	0
33.5	1
33.6	1
33.8	0
33.9	1
34.1	0
34.2	0
34.4	0
34.5	0
34.7	0
34.8	0
35.0	0
35.1	1
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	0
36.5	0
36.6	0
36.8	0
36.9	0
37.0	0
37.2	0
37.3	0
37.5	0
37.6	0
37.8	8
