E_B#7 / keV	N_B#7
0.1	2
0.2	1
0.4	1
0.5	0
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	0
1.8	1
2.0	4
2.1	7
2.3	23
2.4	30
2.6	31
2.7	37
2.9	31
3.0	38
3.2	26
3.3	30
3.5	28
3.6	47
3.8	57
3.9	77
4.1	70
4.2	49
4.4	42
4.5	29
4.7	25
4.8	26
4.9	25
5.1	33
5.2	24
5.4	27
5.5	32
5.7	34
5.8	28
6.0	29
6.1	31
6.3	48
6.4	57
6.6	54
6.7	45
6.9	24
7.0	38
7.2	40
7.3	54
7.5	44
7.6	62
7.8	42
7.9	24
8.1	28
8.2	38
8.4	28
8.5	37
8.6	23
8.8	41
8.9	32
9.1	25
9.2	35
9.4	38
9.5	45
9.7	56
9.8	78
10.0	59
10.1	48
10.3	42
10.4	46
10.6	92
10.7	91
10.9	42
11.0	49
11.2	31
11.3	36
11.5	55
11.6	74
11.8	57
11.9	54
12.1	48
12.2	34
12.3	37
12.5	28
12.6	30
12.8	31
12.9	51
13.1	45
13.2	38
13.4	42
13.5	51
13.7	52
13.8	50
14.0	48
14.1	58
14.3	83
14.4	72
14.6	66
14.7	79
14.9	70
15.0	81
15.2	65
15.3	58
15.5	109
15.6	81
15.7	123
15.9	121
16.0	179
16.2	226
16.3	306
16.5	362
16.6	361
16.8	271
16.9	217
17.1	138
17.2	148
17.4	163
17.5	174
17.7	160
17.8	99
18.0	48
18.1	34
18.3	17
18.4	25
18.6	25
18.7	24
18.9	16
19.0	28
19.2	23
19.3	28
19.4	29
19.6	25
19.7	24
19.9	30
20.0	27
20.2	32
20.3	26
20.5	30
20.6	18
20.8	29
20.9	22
21.1	35
21.2	27
21.4	29
21.5	24
21.7	40
21.8	44
22.0	59
22.1	56
22.3	43
22.4	34
22.6	45
22.7	35
22.8	42
23.0	48
23.1	41
23.3	35
23.4	39
23.6	32
23.7	40
23.9	36
24.0	47
24.2	39
24.3	38
24.5	34
24.6	55
24.8	45
24.9	40
25.1	52
25.2	30
25.4	38
25.5	38
25.7	49
25.8	42
26.0	42
26.1	41
26.3	40
26.4	30
26.5	33
26.7	38
26.8	34
27.0	36
27.1	37
27.3	32
27.4	31
27.6	20
27.7	26
27.9	30
28.0	15
28.2	19
28.3	21
28.5	19
28.6	18
28.8	24
28.9	16
29.1	18
29.2	18
29.4	8
29.5	20
29.7	3
29.8	9
29.9	12
30.1	11
30.2	13
30.4	5
30.5	3
30.7	4
30.8	7
31.0	1
31.1	1
31.3	1
31.4	1
31.6	1
31.7	1
31.9	0
32.0	1
32.2	1
32.3	0
32.5	1
32.6	0
32.8	0
32.9	0
33.1	0
33.2	0
33.4	0
33.5	0
33.6	0
33.8	0
33.9	1
34.1	0
34.2	0
34.4	0
34.5	0
34.7	0
34.8	0
35.0	0
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	0
36.5	0
36.6	0
36.8	0
36.9	0
37.0	1
37.2	0
37.3	0
37.5	0
37.6	0
37.8	11
