E_B#7 / keV	N_B#7
0.1	144
0.2	3
0.4	1
0.5	1
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	0
1.8	2
2.0	2
2.1	12
2.3	23
2.4	34
2.6	29
2.7	24
2.9	23
3.0	40
3.2	34
3.3	36
3.5	37
3.6	35
3.8	37
3.9	67
4.1	62
4.2	39
4.4	39
4.5	24
4.7	33
4.8	34
4.9	36
5.1	31
5.2	36
5.4	27
5.5	36
5.7	35
5.8	35
6.0	39
6.1	53
6.3	54
6.4	58
6.6	55
6.7	51
6.9	56
7.0	43
7.2	54
7.3	48
7.5	86
7.6	83
7.8	44
7.9	32
8.1	44
8.2	37
8.4	52
8.5	56
8.6	46
8.8	36
8.9	42
9.1	25
9.2	39
9.4	37
9.5	87
9.7	113
9.8	149
10.0	105
10.1	62
10.3	45
10.4	52
10.6	65
10.7	73
10.9	47
11.0	50
11.2	34
11.3	78
11.5	122
11.6	107
11.8	102
11.9	73
12.1	51
12.2	54
12.3	59
12.5	50
12.6	41
12.8	43
12.9	47
13.1	64
13.2	54
13.4	63
13.5	79
13.7	83
13.8	86
14.0	102
14.1	116
14.3	127
14.4	119
14.6	122
14.7	99
14.9	102
15.0	108
15.2	106
15.3	121
15.5	139
15.6	161
15.7	160
15.9	173
16.0	166
16.2	154
16.3	158
16.5	162
16.6	156
16.8	201
16.9	226
17.1	372
17.2	750
17.4	1262
17.5	1520
17.7	1190
17.8	615
18.0	242
18.1	63
18.3	42
18.4	35
18.6	23
18.7	19
18.9	20
19.0	28
19.2	39
19.3	30
19.4	57
19.6	62
19.7	60
19.9	41
20.0	31
20.2	34
20.3	32
20.5	26
20.6	20
20.8	25
20.9	28
21.1	21
21.2	32
21.4	30
21.5	38
21.7	44
21.8	47
22.0	77
22.1	61
22.3	59
22.4	42
22.6	33
22.7	30
22.8	40
23.0	37
23.1	31
23.3	28
23.4	35
23.6	37
23.7	34
23.9	36
24.0	38
24.2	50
24.3	42
24.5	58
24.6	57
24.8	41
24.9	38
25.1	37
25.2	41
25.4	43
25.5	37
25.7	34
25.8	45
26.0	40
26.1	30
26.3	39
26.4	41
26.5	48
26.7	43
26.8	40
27.0	39
27.1	42
27.3	40
27.4	50
27.6	30
27.7	36
27.9	35
28.0	34
28.2	29
28.3	25
28.5	34
28.6	40
28.8	29
28.9	31
29.1	27
29.2	27
29.4	30
29.5	26
29.7	24
29.8	29
29.9	23
30.1	17
30.2	21
30.4	18
30.5	17
30.7	16
30.8	14
31.0	19
31.1	14
31.3	8
31.4	15
31.6	23
31.7	12
31.9	9
32.0	10
32.2	6
32.3	14
32.5	8
32.6	6
32.8	10
32.9	7
33.1	3
33.2	2
33.4	3
33.5	3
33.6	1
33.8	1
33.9	0
34.1	3
34.2	0
34.4	0
34.5	0
34.7	0
34.8	0
35.0	0
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	0
36.5	0
36.6	0
36.8	1
36.9	0
37.0	0
37.2	0
37.3	1
37.5	0
37.6	0
37.8	15
