E_B#6 / keV	N_B#6
0.1	240
0.2	2
0.4	4
0.5	1
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	0
1.8	3
2.0	2
2.1	9
2.3	25
2.4	28
2.6	25
2.7	29
2.9	26
3.0	25
3.2	27
3.3	41
3.5	27
3.6	32
3.8	33
3.9	34
4.1	32
4.2	30
4.4	20
4.5	26
4.7	23
4.8	21
4.9	16
5.1	27
5.2	26
5.4	21
5.5	32
5.7	19
5.8	22
6.0	32
6.1	26
6.3	35
6.4	49
6.6	53
6.7	45
6.9	33
7.0	26
7.2	39
7.3	40
7.5	56
7.6	70
7.8	41
7.9	45
8.1	19
8.2	32
8.4	36
8.5	43
8.6	25
8.8	28
8.9	23
9.1	19
9.2	17
9.4	36
9.5	57
9.7	97
9.8	120
10.0	81
10.1	37
10.3	25
10.4	31
10.6	32
10.7	29
10.9	27
11.0	41
11.2	41
11.3	51
11.5	105
11.6	80
11.8	70
11.9	53
12.1	34
12.2	49
12.3	28
12.5	32
12.6	37
12.8	31
12.9	34
13.1	41
13.2	37
13.4	44
13.5	59
13.7	57
13.8	71
14.0	72
14.1	74
14.3	100
14.4	88
14.6	79
14.7	82
14.9	68
15.0	78
15.2	84
15.3	69
15.5	92
15.6	95
15.7	94
15.9	118
16.0	114
16.2	117
16.3	104
16.5	100
16.6	124
16.8	147
16.9	173
17.1	260
17.2	562
17.4	1008
17.5	1314
17.7	1009
17.8	525
18.0	222
18.1	86
18.3	31
18.4	22
18.6	17
18.7	6
18.9	22
19.0	21
19.2	28
19.3	38
19.4	39
19.6	74
19.7	58
19.9	48
20.0	28
20.2	34
20.3	30
20.5	29
20.6	16
20.8	30
20.9	29
21.1	32
21.2	30
21.4	45
21.5	30
21.7	42
21.8	50
22.0	68
22.1	62
22.3	48
22.4	38
22.6	37
22.7	33
22.8	27
23.0	34
23.1	39
23.3	44
23.4	34
23.6	42
23.7	27
23.9	36
24.0	46
24.2	37
24.3	44
24.5	44
24.6	41
24.8	43
24.9	37
25.1	51
25.2	51
25.4	41
25.5	45
25.7	23
25.8	45
26.0	41
26.1	43
26.3	34
26.4	35
26.5	35
26.7	39
26.8	36
27.0	36
27.1	31
27.3	36
27.4	27
27.6	32
27.7	34
27.9	37
28.0	25
28.2	25
28.3	37
28.5	36
28.6	21
28.8	24
28.9	31
29.1	20
29.2	33
29.4	30
29.5	29
29.7	20
29.8	22
29.9	30
30.1	23
30.2	21
30.4	14
30.5	19
30.7	20
30.8	18
31.0	16
31.1	19
31.3	15
31.4	17
31.6	17
31.7	12
31.9	6
32.0	12
32.2	13
32.3	12
32.5	8
32.6	6
32.8	10
32.9	3
33.1	8
33.2	7
33.4	6
33.5	6
33.6	4
33.8	4
33.9	2
34.1	2
34.2	2
34.4	1
34.5	0
34.7	0
34.8	0
35.0	0
35.1	0
35.3	0
35.4	1
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	0
36.5	0
36.6	0
36.8	0
36.9	0
37.0	0
37.2	0
37.3	0
37.5	0
37.6	0
37.8	16
