E_B#4 / keV	N_B#4
0.1	3
0.2	0
0.4	0
0.5	0
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	0
1.8	2
2.0	2
2.1	6
2.3	15
2.4	19
2.6	26
2.7	20
2.9	19
3.0	19
3.2	23
3.3	30
3.5	28
3.6	59
3.8	50
3.9	76
4.1	75
4.2	48
4.4	27
4.5	26
4.7	21
4.8	28
4.9	26
5.1	29
5.2	16
5.4	24
5.5	25
5.7	32
5.8	18
6.0	15
6.1	31
6.3	34
6.4	56
6.6	50
6.7	38
6.9	27
7.0	38
7.2	41
7.3	35
7.5	40
7.6	39
7.8	31
7.9	25
8.1	18
8.2	26
8.4	18
8.5	23
8.6	22
8.8	23
8.9	30
9.1	17
9.2	29
9.4	17
9.5	40
9.7	57
9.8	63
10.0	45
10.1	43
10.3	24
10.4	54
10.6	74
10.7	65
10.9	49
11.0	29
11.2	26
11.3	32
11.5	44
11.6	45
11.8	61
11.9	43
12.1	28
12.2	29
12.3	20
12.5	20
12.6	23
12.8	27
12.9	18
13.1	22
13.2	30
13.4	45
13.5	42
13.7	38
13.8	36
14.0	58
14.1	51
14.3	68
14.4	75
14.6	60
14.7	48
14.9	42
15.0	63
15.2	67
15.3	60
15.5	66
15.6	69
15.7	81
15.9	80
16.0	111
16.2	131
16.3	189
16.5	223
16.6	267
16.8	256
16.9	212
17.1	150
17.2	117
17.4	122
17.5	148
17.7	104
17.8	56
18.0	30
18.1	16
18.3	20
18.4	11
18.6	15
18.7	19
18.9	17
19.0	20
19.2	18
19.3	11
19.4	18
19.6	16
19.7	21
19.9	20
20.0	18
20.2	17
20.3	12
20.5	23
20.6	20
20.8	22
20.9	19
21.1	17
21.2	25
21.4	17
21.5	26
21.7	32
21.8	35
22.0	43
22.1	30
22.3	26
22.4	37
22.6	33
22.7	22
22.8	23
23.0	34
23.1	22
23.3	21
23.4	18
23.6	20
23.7	34
23.9	28
24.0	22
24.2	24
24.3	28
24.5	37
24.6	34
24.8	40
24.9	26
25.1	33
25.2	34
25.4	36
25.5	26
25.7	23
25.8	31
26.0	23
26.1	26
26.3	34
26.4	30
26.5	20
26.7	13
26.8	19
27.0	31
27.1	25
27.3	17
27.4	20
27.6	28
27.7	22
27.9	15
28.0	25
28.2	14
28.3	10
28.5	19
28.6	12
28.8	14
28.9	8
29.1	7
29.2	10
29.4	13
29.5	9
29.7	11
29.8	9
29.9	5
30.1	7
30.2	4
30.4	4
30.5	7
30.7	4
30.8	2
31.0	1
31.1	2
31.3	3
31.4	1
31.6	0
31.7	1
31.9	0
32.0	0
32.2	0
32.3	0
32.5	0
32.6	4
32.8	1
32.9	0
33.1	1
33.2	0
33.4	0
33.5	0
33.6	0
33.8	0
33.9	1
34.1	0
34.2	0
34.4	0
34.5	0
34.7	0
34.8	0
35.0	0
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	2
36.0	0
36.2	1
36.3	0
36.5	0
36.6	0
36.8	0
36.9	0
37.0	0
37.2	0
37.3	0
37.5	0
37.6	0
37.8	6
