E_B#6 / keV	N_B#6
0.1	3
0.2	0
0.4	0
0.5	0
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	0
1.8	0
2.0	1
2.1	5
2.3	9
2.4	14
2.6	15
2.7	21
2.9	19
3.0	21
3.2	18
3.3	27
3.5	11
3.6	23
3.8	63
3.9	57
4.1	55
4.2	33
4.4	30
4.5	21
4.7	24
4.8	11
4.9	18
5.1	15
5.2	21
5.4	12
5.5	14
5.7	22
5.8	12
6.0	12
6.1	23
6.3	31
6.4	32
6.6	37
6.7	32
6.9	24
7.0	28
7.2	21
7.3	23
7.5	34
7.6	38
7.8	27
7.9	19
8.1	12
8.2	17
8.4	24
8.5	19
8.6	22
8.8	22
8.9	20
9.1	20
9.2	20
9.4	26
9.5	27
9.7	44
9.8	50
10.0	36
10.1	27
10.3	25
10.4	41
10.6	71
10.7	70
10.9	50
11.0	24
11.2	22
11.3	21
11.5	32
11.6	46
11.8	44
11.9	37
12.1	20
12.2	20
12.3	11
12.5	25
12.6	19
12.8	21
12.9	18
13.1	22
13.2	17
13.4	21
13.5	20
13.7	21
13.8	29
14.0	43
14.1	48
14.3	55
14.4	53
14.6	54
14.7	35
14.9	33
15.0	31
15.2	31
15.3	41
15.5	42
15.6	44
15.7	57
15.9	66
16.0	55
16.2	73
16.3	74
16.5	89
16.6	148
16.8	198
16.9	197
17.1	201
17.2	211
17.4	189
17.5	190
17.7	165
17.8	84
18.0	45
18.1	20
18.3	19
18.4	10
18.6	12
18.7	10
18.9	12
19.0	19
19.2	12
19.3	14
19.4	15
19.6	12
19.7	16
19.9	18
20.0	8
20.2	23
20.3	19
20.5	14
20.6	15
20.8	16
20.9	11
21.1	15
21.2	12
21.4	14
21.5	17
21.7	21
21.8	28
22.0	20
22.1	27
22.3	29
22.4	28
22.6	26
22.7	13
22.8	25
23.0	29
23.1	13
23.3	22
23.4	18
23.6	16
23.7	12
23.9	18
24.0	19
24.2	30
24.3	12
24.5	21
24.6	26
24.8	19
24.9	22
25.1	19
25.2	23
25.4	20
25.5	23
25.7	18
25.8	25
26.0	24
26.1	20
26.3	18
26.4	23
26.5	16
26.7	27
26.8	20
27.0	23
27.1	12
27.3	14
27.4	15
27.6	14
27.7	11
27.9	18
28.0	12
28.2	12
28.3	18
28.5	8
28.6	17
28.8	15
28.9	8
29.1	10
29.2	6
29.4	9
29.5	4
29.7	4
29.8	7
29.9	6
30.1	6
30.2	9
30.4	5
30.5	6
30.7	9
30.8	3
31.0	5
31.1	4
31.3	4
31.4	3
31.6	4
31.7	1
31.9	1
32.0	1
32.2	0
32.3	0
32.5	1
32.6	0
32.8	1
32.9	0
33.1	0
33.2	0
33.4	0
33.5	0
33.6	1
33.8	0
33.9	0
34.1	0
34.2	0
34.4	0
34.5	0
34.7	0
34.8	0
35.0	0
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	1
36.5	0
36.6	0
36.8	0
36.9	0
37.0	0
37.2	0
37.3	0
37.5	0
37.6	0
37.8	11
