E_B#4 / keV	N_B#4
0.1	6
0.2	0
0.4	0
0.5	0
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	0
1.8	0
2.0	3
2.1	8
2.3	27
2.4	35
2.6	40
2.7	38
2.9	34
3.0	44
3.2	44
3.3	33
3.5	45
3.6	41
3.8	46
3.9	43
4.1	49
4.2	36
4.4	33
4.5	27
4.7	31
4.8	30
4.9	33
5.1	26
5.2	29
5.4	39
5.5	28
5.7	43
5.8	25
6.0	35
6.1	34
6.3	45
6.4	55
6.6	64
6.7	42
6.9	46
7.0	67
7.2	58
7.3	63
7.5	77
7.6	78
7.8	54
7.9	45
8.1	37
8.2	63
8.4	52
8.5	51
8.6	41
8.8	43
8.9	39
9.1	30
9.2	41
9.4	44
9.5	87
9.7	128
9.8	159
10.0	101
10.1	67
10.3	34
10.4	51
10.6	48
10.7	75
10.9	50
11.0	36
11.2	35
11.3	78
11.5	101
11.6	117
11.8	110
11.9	67
12.1	61
12.2	43
12.3	35
12.5	38
12.6	49
12.8	46
12.9	49
13.1	57
13.2	52
13.4	56
13.5	67
13.7	64
13.8	81
14.0	68
14.1	83
14.3	95
14.4	99
14.6	97
14.7	98
14.9	98
15.0	112
15.2	102
15.3	106
15.5	107
15.6	137
15.7	158
15.9	163
16.0	180
16.2	139
16.3	177
16.5	159
16.6	178
16.8	182
16.9	232
17.1	331
17.2	691
17.4	1330
17.5	1784
17.7	1542
17.8	748
18.0	293
18.1	111
18.3	44
18.4	29
18.6	18
18.7	13
18.9	19
19.0	22
19.2	24
19.3	32
19.4	42
19.6	62
19.7	59
19.9	62
20.0	38
20.2	33
20.3	30
20.5	35
20.6	36
20.8	25
20.9	35
21.1	24
21.2	36
21.4	35
21.5	27
21.7	43
21.8	66
22.0	79
22.1	60
22.3	57
22.4	34
22.6	47
22.7	40
22.8	38
23.0	40
23.1	32
23.3	21
23.4	31
23.6	30
23.7	44
23.9	37
24.0	49
24.2	29
24.3	63
24.5	45
24.6	44
24.8	38
24.9	37
25.1	46
25.2	40
25.4	50
25.5	41
25.7	44
25.8	36
26.0	32
26.1	40
26.3	37
26.4	48
26.5	34
26.7	35
26.8	36
27.0	42
27.1	39
27.3	24
27.4	30
27.6	28
27.7	37
27.9	32
28.0	33
28.2	37
28.3	41
28.5	30
28.6	27
28.8	34
28.9	33
29.1	44
29.2	34
29.4	33
29.5	24
29.7	32
29.8	34
29.9	34
30.1	26
30.2	25
30.4	18
30.5	23
30.7	23
30.8	20
31.0	25
31.1	28
31.3	22
31.4	22
31.6	17
31.7	13
31.9	10
32.0	20
32.2	10
32.3	11
32.5	14
32.6	7
32.8	10
32.9	8
33.1	10
33.2	7
33.4	8
33.5	3
33.6	4
33.8	1
33.9	0
34.1	1
34.2	0
34.4	0
34.5	0
34.7	0
34.8	0
35.0	0
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	0
36.5	0
36.6	1
36.8	0
36.9	0
37.0	0
37.2	0
37.3	0
37.5	0
37.6	0
37.8	14
