E_B#4 / keV	N_B#4
0.1	6
0.2	0
0.4	0
0.5	0
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	0
1.8	0
2.0	2
2.1	7
2.3	25
2.4	42
2.6	36
2.7	29
2.9	36
3.0	41
3.2	25
3.3	39
3.5	43
3.6	50
3.8	68
3.9	96
4.1	76
4.2	48
4.4	23
4.5	27
4.7	29
4.8	34
4.9	27
5.1	17
5.2	22
5.4	26
5.5	28
5.7	20
5.8	25
6.0	29
6.1	30
6.3	29
6.4	57
6.6	41
6.7	42
6.9	30
7.0	30
7.2	38
7.3	34
7.5	48
7.6	58
7.8	24
7.9	30
8.1	25
8.2	25
8.4	34
8.5	44
8.6	34
8.8	23
8.9	27
9.1	23
9.2	40
9.4	32
9.5	44
9.7	71
9.8	93
10.0	65
10.1	53
10.3	29
10.4	50
10.6	95
10.7	100
10.9	67
11.0	37
11.2	38
11.3	39
11.5	62
11.6	66
11.8	72
11.9	54
12.1	40
12.2	40
12.3	26
12.5	30
12.6	41
12.8	47
12.9	44
13.1	43
13.2	42
13.4	60
13.5	47
13.7	47
13.8	48
14.0	73
14.1	74
14.3	87
14.4	80
14.6	64
14.7	63
14.9	61
15.0	78
15.2	93
15.3	82
15.5	84
15.6	109
15.7	126
15.9	163
16.0	195
16.2	256
16.3	324
16.5	448
16.6	359
16.8	262
16.9	222
17.1	131
17.2	104
17.4	135
17.5	176
17.7	165
17.8	94
18.0	39
18.1	29
18.3	27
18.4	25
18.6	31
18.7	25
18.9	18
19.0	25
19.2	27
19.3	19
19.4	20
19.6	24
19.7	31
19.9	30
20.0	17
20.2	36
20.3	26
20.5	23
20.6	20
20.8	27
20.9	28
21.1	32
21.2	25
21.4	39
21.5	33
21.7	49
21.8	44
22.0	76
22.1	56
22.3	39
22.4	42
22.6	48
22.7	33
22.8	40
23.0	43
23.1	50
23.3	44
23.4	29
23.6	48
23.7	28
23.9	41
24.0	40
24.2	38
24.3	57
24.5	44
24.6	46
24.8	26
24.9	37
25.1	51
25.2	45
25.4	50
25.5	31
25.7	35
25.8	45
26.0	38
26.1	23
26.3	42
26.4	31
26.5	45
26.7	37
26.8	39
27.0	39
27.1	35
27.3	34
27.4	26
27.6	23
27.7	31
27.9	25
28.0	28
28.2	21
28.3	20
28.5	11
28.6	30
28.8	22
28.9	13
29.1	22
29.2	10
29.4	12
29.5	10
29.7	10
29.8	10
29.9	10
30.1	4
30.2	2
30.4	7
30.5	4
30.7	2
30.8	2
31.0	3
31.1	2
31.3	0
31.4	2
31.6	1
31.7	1
31.9	0
32.0	0
32.2	0
32.3	0
32.5	1
32.6	0
32.8	0
32.9	3
33.1	0
33.2	0
33.4	1
33.5	0
33.6	0
33.8	0
33.9	0
34.1	0
34.2	0
34.4	0
34.5	0
34.7	0
34.8	0
35.0	0
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	0
36.5	1
36.6	0
36.8	0
36.9	0
37.0	0
37.2	0
37.3	0
37.5	1
37.6	0
37.8	14
